raceID,raceCountry,raceDistance,raceName
5740,USA,50km,leatherwood ultras 50 k
3528,USA,50km,monta+-a de oro 50
4127,INA,100km,ijen trail running 100
7715,CHN,50km,ultra-trail huangshan (qsd) - 50k
8265,AUS,50mi,canberra 24hr race - 50mi spli
3018,GER,100km,th+-ringenultra 100 k
8005,POR,100km,estrelacor trail ultra endurance 100 k
1019,USA,50km,flatrock 50
7115,USA,50km,bus trail mix-up run 50
2475,USA,100mi,long haul 100 mile ultra-marathon
328,USA,50km,san tan scramble 50
6131,NOR,100mi,bislett 24h hour indoor challenge - 100mi spli
5324,USA,50km,wy'east howl 50km rac
5871,NED,50km,hivernal trai
303,USA,50km,backcountry rise 50 km rac
2357,CHN,50km,ultra trail challenge bailidujuan 5
1452,GER,100km,lange laufnacht von ulm 100 km - volkswandere
5967,USA,100mi,run rabbit run 100 mile ultramarathon - hares ru
5248,USA,50km,dances with dirt - green swamp 50 km ultr
3923,USA,100mi,the wild oak trail 10
2308,ITA,100km,100 km run&go festiva
5296,ARG,100km,copa argentina de 100 km boliva
3951,CAN,100km,finlayson arm 100 km rac
2149,HKG,50km,msig lantau 5
5387,BEL,50km,le trail des bosses 50 k
6860,USA,50km,hagg lake trail runs 50
6924,USA,50km,crazy desert trail race 50
2067,GBR,50km,enigma fireworks
516,USA,50km,palm bluff trail race 50k ultr
4111,CAN,50km,niagara ultra 50 k
5192,USA,50km,wild duluth 50 km race
6344,INA,100km,mesastila ultra race 100
3618,CHN,50km,qinling 50k trai
975,CHN,50km,jingxigudao cyclo cros
4053,CHN,50km,yuanda lanzhou 50 k
6270,GER,50km,european athletics championships - 50 km walkin
1278,USA,50mi,chattanooga 50 mile trail rac
1373,USA,50km,power to the tower 50
5857,USA,50km,grand canyon 50 k
2173,NED,50km,texel trai
7547,USA,100km,redbird crest 100
668,USA,50km,cle elum ridge 50
1320,JPN,100km,tsuruoka 100km maratho
1183,FRA,50km,a travers l'estra
3398,AUS,100km,alpine challenge 100 k
3599,USA,100km,orange curtain 100km ultra rac
5619,USA,50km,antelope island fall classic 50
1384,USA,50km,harrc's conococheague 50k trails ultr
1342,BRA,50km,ultra maratona da serra do mar - 50 kms warrio
8143,CHN,100km,super salmon 10
5950,CHN,50km,pujiang int. trail race - 50 k
6370,USA,50km,water gap 50 km rac
5491,GBR,100mi,westcountry ultra 100 mile
1219,USA,50km,skydive ultra run - 50 k
3916,GBR,50mi,ochil ultra 50m
1818,CHI,100km,ultra fiord patagonia chile 100k
6778,USA,50mi,marquette trail 50 mil
1031,USA,50mi,sun mountain 50 mile trail race
7403,CHN,50km,ana trail series - west lake 50
6931,AUS,100km,cbr100 challeng
1015,USA,50km,caumsett park 50k lloyd neck - championship
1431,GBR,50km,british championships 50km walkin
4835,HKG,50km,the 9 dragons - 50 k
4815,GER,50km,50 kilometer von berli
2685,BRA,100km,caminhos de rosa 100 k
5159,CHN,100km,wild wolf 100 chongqin
1822,CHN,50km,penglai qiushan valley chateau ultra maratho
796,USA,50mi,lake sonoma 50 mile rac
4541,USA,100mi,pinhoti 100 mil
7155,ITA,50km,tartufo trail running 50 k
835,NZL,50km,great naseby water 50 km rac
239,USA,100mi,war hammer 100 mile endurance ru
6917,USA,50mi,farm to farm 50 mile ultra ru
4868,CHN,50km,xtrail wulong 50
6892,USA,100km,snake river island hop 100
986,ROU,50km,transmaraton romani
60,USA,100km,vasque free state trail 100 km ru
2425,GBR,50mi,ox 50 mile
212,ESP,100km,prueba de gran fondo 'hiru haundiak
1748,CHN,50km,nature run - huaihua xiaohenglon
6889,IND,50km,nilgiris ultra 50 k
5958,USA,50km,lt. jc stone 50k ultramaratho
6345,BRA,50km,ultra desafio 50 km morungab
3928,USA,50km,chanoko 50km trail rac
7573,USA,50km,king of the mountain 50k
856,CHN,50km,changan ford ultra challenge 50k
204,GER,50km,100km rheine - 50 km spli
542,USA,100mi,salt flats 100 mil
5793,GBR,100km,chiltern way ultra 100
2514,USA,50km,montara mountain 50 km trail ru
4219,JPN,100km,fuji 4 lakes 100 km challeng
3533,USA,50km,the runner's flat 50
7254,CHN,50km,juewei 50k
5879,AUS,50km,ned kelly chase 50k
5291,USA,100mi,antelope island buffalo run 100 mil
2777,CHN,50km,super salmon 5
4590,USA,50km,the rut mountain run
4300,NOR,50mi,lofoten ultra trail 50 mile
7464,CHN,100km,china ultra 100 pue
673,GER,50km,berlin 50k - duv d
